Signature	Number_unique	Number_similar	Similar_signatures	Lowest_LD	Lowest_LD_signature
CTGF MRPS12	587	28	ACTN1 MRPS12 MSC, -3;ADAMTS5 CTGF GRTP1, -3;AGER CTGF ITGBL1, -3;ARHGAP25 CTGF, -3;ARHGEF1 CTGF, -3;BMP2K C1QA MRPS12, -3;BMP2K FBN1 MRPS12, -3;BMP2K MRPS12 QKI TLE1, -2;CD3EAP MRPS12, -4;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -4;CTGF E2F5 IRAK3, -3;CTGF ELK3 FBN1 GRTP1 PALM, -1;CTGF FABP6 IGF1 PRPH2 RFX4, -1;CTGF HNF4A S100P ZNF273, -2;CTGF IRAK3 TGFBI, -3;CTGF MT1H, -4;CTGF NLGN1 POU6F1, -3;CTGF RPL18, -4;DKK2 MRPS12 PDZD3 REEP1, -2;ELK3 MRPS12 PDIA3 QKI, -2;FARP1 MRPS12 REEP1, -3;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 0;FBN1 MRPS12 NOX3 TBXA2R, -2;KCTD14 MRPS12, -4;MRPS12 MSC, -3;MRPS12 RCAN2 RCVRN SLC39A4, -1	-4	CD3EAP MRPS12
CTGF MT1H	591	24	ADAMTS5 CTGF GRTP1, -3;AGER CTGF ITGBL1, -3;ARHGAP25 CTGF, -3;ARHGEF1 CTGF, -3;CPB2 ERCC2 GAA KCNK12 MT1H, -1;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -4;CTGF E2F5 IRAK3, -3;CTGF ELK3 FBN1 GRTP1 PALM, -1;CTGF FABP6 IGF1 PRPH2 RFX4, -1;CTGF HNF4A S100P ZNF273, -2;CTGF IRAK3 TGFBI, -3;CTGF MRPS12, -4;CTGF NLGN1 POU6F1, -3;CTGF RPL18, -4;FBN1 MT1H, -4;FBN1 MT1H VENTX, -3;GAA GRIK3 KCNK12 MT1H, -2;GTDC1 KCNK12 MT1H PRLR, -2;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;KCNK12 MT1H PRLR SLC34A1, -2;MCTP2 MT1H PKNOX1 RPH3AL, -2;MT1H, -4;MT1H PRKCA, -3	-4	CTGF
CTGF NLGN1 POU6F1	585	30	ADAM28 F13A1 IRAK3 POU6F1, -2;ADAMTS5 CTGF GRTP1, -2;AGER CTGF ITGBL1, -2;ALX1 POU6F1 ROBO4, -2;ARHGAP25 CTGF, -2;ARHGEF1 CTGF, -2;AXL CARD9 POU6F1 SLC1A5, -2;C1orf21 ITGB7 POU6F1 SURF2, -2;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -3;CTGF E2F5 IRAK3, -3;CTGF ELK3 FBN1 GRTP1 PALM, -1;CTGF FABP6 IGF1 PRPH2 RFX4, -1;CTGF HNF4A S100P ZNF273, -2;CTGF IRAK3 TGFBI, -3;CTGF MRPS12, -3;CTGF MT1H, -3;CTGF RPL18, -3;CYP27A1 EDNRA POU6F1, -3;DDR2 MME POU6F1, -3;DDR2 POU6F1 PRLR SYNPO, -1;DDR2 POU6F1 VEGFC, -2;F11R POU6F1, -3;FRAT1 HOXA3 NLGN1, -2;FRAT1 NLGN1 XBP1, -3;ITGB7 POU6F1 VEGFC, -2;POU6F1, -3;POU6F1 PPA2 RHOH, -1;POU6F1 RBMS2 TAS2R8, -1;POU6F1 SLC1A5 TGFBR3, -1	-3	CTGF
CTGF RPL18	600	15	ADAMTS5 CTGF GRTP1, -3;AGER CTGF ITGBL1, -3;ARHGAP25 CTGF, -3;ARHGEF1 CTGF, -3;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -4;CTGF E2F5 IRAK3, -3;CTGF ELK3 FBN1 GRTP1 PALM, -1;CTGF FABP6 IGF1 PRPH2 RFX4, -1;CTGF HNF4A S100P ZNF273, -2;CTGF IRAK3 TGFBI, -3;CTGF MRPS12, -4;CTGF MT1H, -4;CTGF NLGN1 POU6F1, -3;GRTP1 KIF13B MRTO4 RPL18, -2	-4	CTGF
CYP11B2	615	0		100	
CYP27A1	612	3	C4BPA CYP27A1 HTR2A NRTN, -2;CYP27A1 EDNRA POU6F1, -3;CYP27A1 ETS2 MAPT TNC, -2	-3	CYP27A1 EDNRA POU6F1
CYP27A1 EDNRA POU6F1	598	17	ADAM28 F13A1 IRAK3 POU6F1, -2;ALX1 POU6F1 ROBO4, -2;AXL CARD9 POU6F1 SLC1A5, -2;C1orf21 ITGB7 POU6F1 SURF2, -2;C4BPA CYP27A1 HTR2A NRTN, -2;CTGF NLGN1 POU6F1, -3;CYP27A1, -3;CYP27A1 ETS2 MAPT TNC, -2;DDR2 MME POU6F1, -3;DDR2 POU6F1 PRLR SYNPO, -1;DDR2 POU6F1 VEGFC, -2;F11R POU6F1, -3;ITGB7 POU6F1 VEGFC, -2;POU6F1, -3;POU6F1 PPA2 RHOH, -1;POU6F1 RBMS2 TAS2R8, -1;POU6F1 SLC1A5 TGFBR3, -1	-3	CTGF NLGN1 POU6F1
CYP27A1 ETS2 MAPT TNC	587	28	ADAMTS5 CARD9 RCAN2 TNC, -2;ARHGEF1 BMP2K DAB2 ETS2, 0;ATP5B BAK1 BUB1 CFD ETS2, 1;ATP5B MAPT NMT2, -2;BAK1 MAPT, -2;BDNF BUB1 CEACAM8 ETS2, 0;BMP2K DCHS2 MAPT TLE1, -2;BUB1 CFD ETS2 GATA3, -1;BUB1 ETS2 F13A1, -2;C4BPA CYP27A1 HTR2A NRTN, -1;CPB2 ELN MAPT, -2;CYP27A1, -2;CYP27A1 EDNRA POU6F1, -2;E2F5 ETS2, -2;ELK3 PRKCA TNC, -2;ELN F13A1 IRAK3 MAPT, -1;ERCC2 ISG20 ITGB4 KATNA1 TNC, -1;ERCC2 KATNA1 MAPT NGF, -2;ETS2, -2;ETS2 HNF4A, -2;ETS2 PNLIP TLR4, -2;F13A1 IRAK3 MAPT QKI RPL10A, -1;HNF4A IL12A MAPT, -2;HNF4A MAPT, -2;IL12A MAPT, -2;MAPT, -2;MAPT TGFBR3 WFDC1, -1;TNC, -2	-2	ADAMTS5 CARD9 RCAN2 TNC
CYP2B6 DUSP11 KIF14	607	8	AAK1 KIF14 KIF1A RFX4, -1;ATP5B GADD45G KIF14, -3;COL1A1 KIF14, -3;CYP2B6 E2F5, -3;CYP2B6 FRAT1, -3;E2F5 ITIH4 KIF14 ZNF273, -2;KIF14, -3;KIF14 MVK PRKCA, -1	-3	ATP5B GADD45G KIF14
CYP2B6 E2F5	596	19	AGER BAK1 E2F5 IL12A, -2;ATP5B BAG2 E2F5 RARS, -2;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1 E2F5 ERCC2 LAMB3, -2;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -3;CFH E2F5, -4;CTGF E2F5 IRAK3, -3;CYP2B6 DUSP11 KIF14, -3;CYP2B6 FRAT1, -4;E2F5, -4;E2F5 ERCC2, -3;E2F5 ETS2, -3;E2F5 ITIH4 KIF14 ZNF273, -1;E2F5 MRTO4 TLR4, -2;E2F5 MYL1 RPL10A, -2;E2F5 NHLH1 TRIM32, -2;E2F5 OSBPL9, -3;E2F5 TBC1D9, -3	-4	CFH E2F5
CYP2B6 FRAT1	603	12	ADAM28 C1QA FRAT1, -3;CD40 FRAT1, -4;CYP2B6 DUSP11 KIF14, -3;CYP2B6 E2F5, -4;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;FHL3 FRAT1 GTDC1, -3;FRAT1 GDNF OSBPL9, -2;FRAT1 GPRC5D LOR, -2;FRAT1 HOXA3 NLGN1, -2;FRAT1 NLGN1 XBP1, -2;FRAT1 SYK, -3;FRAT1 TLR4, -3	-4	CD40 FRAT1
DAB2 DDR2 LHX2 SLC1A5	590	25	ACTN1 COL1A1 DAB2 LAMB3 SGK1, 0;ARHGEF1 BMP2K DAB2 ETS2, 0;AXL CARD9 POU6F1 SLC1A5, -2;BAK1 DDR2, -2;C1QA DAB2 IRAK3, -1;CBR3 LHX2 QKI, -2;CD80 DAB2, -1;CEACAM1 DDR2 ELN, -2;CEACAM8 DDR2 LHX2, -8;CPB2 DAB2, -1;DAB2 GDNF INS, -2;DAB2 GDNF MME, -2;DAB2 JPH2, -2;DDR2, -2;DDR2 EVI2A FBN1 GPRC5D, -1;DDR2 FBN1 ITGBL1 TLE1, -1;DDR2 HMG20B MCTP2 TLE1, -1;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, -1;DDR2 POU6F1 VEGFC, -2;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DDR2 PRKCB, -2;LHX2, -2;POU6F1 SLC1A5 TGFBR3, -1	-8	CEACAM8 DDR2 LHX2
DAB2 GDNF INS	596	19	ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 GDNF PAIP2B, -3;ARHGEF1 BMP2K DAB2 ETS2, -1;BDNF CFD INS MRTO4, -2;C1QA DAB2 IRAK3, -2;CD80 DAB2, -2;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;CPB2 DAB2, -2;DAB2 DDR2 LHX2 SLC1A5, -2;DAB2 GDNF MME, -9;DAB2 JPH2, -3;DTNA GDNF RBM4B WFDC1, -2;F3 GDNF ITGB4, -3;F3 INS LAMA5 PAX4 TGFB2, 0;FLI1 GDNF TAS2R16, -3;FRAT1 GDNF OSBPL9, -3;GDNF, -3;GDNF MCTP2 PAX2 QPCTL, -1;GDNF NHLH1 SCN5A, -2	-9	DAB2 GDNF MME
DAB2 GDNF MME	593	22	ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 GDNF PAIP2B, -3;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ARHGEF1 BMP2K DAB2 ETS2, -1;C1QA DAB2 IRAK3, -2;CD80 DAB2, -2;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;CPB2 DAB2, -2;DAB2 DDR2 LHX2 SLC1A5, -2;DAB2 GDNF INS, -9;DAB2 JPH2, -3;DDR2 MME POU6F1, -2;DTNA GDNF RBM4B WFDC1, -2;F3 GDNF ITGB4, -3;FLI1 GDNF TAS2R16, -3;FRAT1 GDNF OSBPL9, -3;GDNF, -3;GDNF MCTP2 PAX2 QPCTL, -1;GDNF NHLH1 SCN5A, -2;GPR137B MME, -3;MME, -3;MME MRTO4, -2	-9	DAB2 GDNF INS
DAB2 JPH2	605	10	ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ARHGEF1 BMP2K DAB2 ETS2, -2;BIRC3 GTDC1 JPH2 PAX2, -2;C1QA DAB2 IRAK3, -3;CD80 DAB2, -3;CPB2 DAB2, -3;DAB2 DDR2 LHX2 SLC1A5, -2;DAB2 GDNF INS, -3;DAB2 GDNF MME, -3;JPH2 PALM PDLIM4 TLE1, -1	-3	C1QA DAB2 IRAK3
DDR2	602	13	BAK1 DDR2, -4;CEACAM1 DDR2 ELN, -3;CEACAM8 DDR2 LHX2, -3;DAB2 DDR2 LHX2 SLC1A5, -2;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 MME POU6F1, -3;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -3;DDR2 PRKCA TAC1, -3;DDR2 PRKCA VAMP5, -3;DDR2 PRKCB, -4	-4	BAK1 DDR2
DDR2 EVI2A FBN1 GPRC5D	584	31	AGER FBN1, -2;ATP5B FBN1 HNF4A, -2;BAK1 DDR2, -1;BAK1 FBN1 GADD45G TLE1, -1;BIRC3 EVI2A ITIH4 RPH3AL, -2;BMP2K FBN1 MRPS12, -2;CEACAM1 DDR2 ELN, -1;CEACAM7 FBN1 HMGA1 TPM2, -1;CEACAM8 DDR2 LHX2, -1;CLDN3 FBN1, -2;CTGF ELK3 FBN1 GRTP1 PALM, -1;DAB2 DDR2 LHX2 SLC1A5, -1;DDR2, -2;DDR2 FBN1 ITGBL1 TLE1, -7;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -2;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DDR2 PRKCB, -2;DHRS7 ELK3 FBN1 SLC7A2, -2;ELK3 FAM134B FBN1, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 2;FBN1 GNAI1 RPL10A, -1;FBN1 ITGBL1, -2;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 2;FBN1 MRPS12 NOX3 TBXA2R, 0;FBN1 MT1H, -2;FBN1 MT1H VENTX, -1;FRAT1 GPRC5D LOR, -1	-7	DDR2 FBN1 ITGBL1 TLE1
DDR2 FBN1 ITGBL1 TLE1	563	52	ACTN1 TLE1, -2;ADRA2A BMP2K FMO4 TLE1, -2;AGER CTGF ITGBL1, -2;AGER FBN1, -2;ARHGEF1 BAK1 TLE1, -2;ATP5B FBN1 HNF4A, -2;BAK1 DDR2, -1;BAK1 FBN1 GADD45G TLE1, -8;BAK1 GADD45G TLE1, -2;BMP2K DCHS2 MAPT TLE1, -2;BMP2K FBN1 MRPS12, -2;BMP2K LAMB3 TLE1, -2;BMP2K MRPS12 QKI TLE1, -2;CEACAM1 DDR2 ELN, -1;CEACAM7 FBN1 HMGA1 TPM2, -2;CEACAM8 DDR2 LHX2, -1;CLDN3 FBN1, -2;CTGF ELK3 FBN1 GRTP1 PALM, -1;DAB2 DDR2 LHX2 SLC1A5, -1;DDR2, -2;DDR2 EVI2A FBN1 GPRC5D, -7;DDR2 HMG20B MCTP2 TLE1, -8;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -2;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DDR2 PRKCB, -2;DHRS7 ELK3 FBN1 SLC7A2, -1;ELK3 FAM134B FBN1, -1;ELK3 FAM134B TLE1, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 1;FBN1 GNAI1 RPL10A, -2;FBN1 ITGBL1, -8;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 1;FBN1 MRPS12 NOX3 TBXA2R, -1;FBN1 MT1H, -2;FBN1 MT1H VENTX, -2;GADD45B ITGBL1 NOX3 RPH3AL SYK, 0;HMG20B SGK1 TLE1, -2;HNF4A RPL10A TLE1, -2;HR ITGBL1 SYNPO VAMP5 XBP1, 0;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;ITGBL1, -2;ITGBL1 LAMA5, -2;ITGBL1 PRKCA, -2;ITGBL1 ZNF668, -2;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -2;NGF TLE1, -2;PRKCA TLE1, -2;TLE1, -2	-8	BAK1 FBN1 GADD45G TLE1
DDR2 HMG20B MCTP2 TLE1	575	40	ACTN1 TLE1, -2;ADRA2A BMP2K FMO4 TLE1, -2;ARHGEF1 BAK1 TLE1, -2;ATM HMG20B NMT2, -2;ATP5B HMG20B, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -1;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -2;BMP2K DCHS2 MAPT TLE1, -2;BMP2K LAMB3 TLE1, -2;BMP2K MRPS12 QKI TLE1, -2;CBR3 HMG20B ZNF668, -2;CEACAM1 DDR2 ELN, -1;CEACAM1 GADD45G GPR137B MCTP2, -1;CEACAM8 DDR2 LHX2, -1;DAB2 DDR2 LHX2 SLC1A5, -1;DDR2, -2;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -8;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -2;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DDR2 PRKCB, -2;ELK3 FAM134B TLE1, -2;FOXF2 HMG20B, -2;GDNF MCTP2 PAX2 QPCTL, -1;HMG20B, -2;HMG20B HRH4, -2;HMG20B SGK1 TLE1, -8;HNF4A RPL10A TLE1, -2;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -2;MCTP2, -2;MCTP2 MT1H PKNOX1 RPH3AL, 0;NGF TLE1, -2;PRKCA TLE1, -2;TLE1, -2	-8	DDR2 FBN1 ITGBL1 TLE1
DDR2 MME POU6F1	585	30	ADAM28 F13A1 IRAK3 POU6F1, -2;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ALX1 POU6F1 ROBO4, -2;AXL CARD9 POU6F1 SLC1A5, -2;BAK1 DDR2, -2;C1orf21 ITGB7 POU6F1 SURF2, -2;CEACAM1 DDR2 ELN, -2;CEACAM8 DDR2 LHX2, -2;CTGF NLGN1 POU6F1, -3;CYP27A1 EDNRA POU6F1, -3;DAB2 DDR2 LHX2 SLC1A5, -2;DAB2 GDNF MME, -2;DDR2, -3;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 POU6F1 PRLR SYNPO, -7;DDR2 POU6F1 VEGFC, -8;DDR2 PRKCA TAC1, -3;DDR2 PRKCA VAMP5, -3;DDR2 PRKCB, -3;F11R POU6F1, -3;GPR137B MME, -3;ITGB7 POU6F1 VEGFC, -2;MME, -3;MME MRTO4, -3;POU6F1, -3;POU6F1 PPA2 RHOH, -1;POU6F1 RBMS2 TAS2R8, -1;POU6F1 SLC1A5 TGFBR3, -1	-8	DDR2 POU6F1 VEGFC
DDR2 POU6F1 PRLR SYNPO	574	41	ADAM28 F13A1 IRAK3 POU6F1, 0;ALX1 POU6F1 ROBO4, -2;ATP5B BMI1 FXYD1 PRLR, -1;AXL CARD9 POU6F1 SLC1A5, -1;BAK1 DDR2, -1;BAK1 SV2A SYNPO, -2;BMP2K E2F5 SYNPO, -2;BSCL2 RBM4B SYNPO TLR4, -1;C1orf21 ITGB7 POU6F1 SURF2, -1;CEACAM1 DDR2 ELN, -1;CEACAM8 DDR2 LHX2, -1;CTGF NLGN1 POU6F1, -1;CYP27A1 EDNRA POU6F1, -1;DAB2 DDR2 LHX2 SLC1A5, -1;DDR2, -2;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 MME POU6F1, -7;DDR2 POU6F1 VEGFC, -8;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DDR2 PRKCB, -2;ELN PRLR, -2;F11R POU6F1, -2;FAM134B OLFML2B PAX2 SYNPO, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;FXYD1 HMOX1 PAIP2B PRLR, -1;GTDC1 KCNK12 MT1H PRLR, -1;HR ITGBL1 SYNPO VAMP5 XBP1, 0;ITGB7 POU6F1 VEGFC, -2;KCNK12 MT1H PRLR SLC34A1, -2;KIF13B PRLR, -2;POU6F1, -2;POU6F1 PPA2 RHOH, -2;POU6F1 RBMS2 TAS2R8, -2;POU6F1 SLC1A5 TGFBR3, -2;PRLR, -2;PRLR RCN3, -2;SV2A SYNPO, -2;SYNPO, -2	-8	DDR2 POU6F1 VEGFC
DDR2 POU6F1 VEGFC	585	30	ADAM28 F13A1 IRAK3 POU6F1, -1;ALX1 POU6F1 ROBO4, -3;AXL CARD9 POU6F1 SLC1A5, -2;BAK1 DDR2, -2;C1QA PDIA3 SAMD9 VEGFC, -2;C1orf21 ITGB7 POU6F1 SURF2, -2;CEACAM1 DDR2 ELN, -2;CEACAM8 DDR2 LHX2, -2;CTGF NLGN1 POU6F1, -2;CYP27A1 EDNRA POU6F1, -2;DAB2 DDR2 LHX2 SLC1A5, -2;DDR2, -3;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 MME POU6F1, -8;DDR2 POU6F1 PRLR SYNPO, -8;DDR2 PRKCA TAC1, -3;DDR2 PRKCA VAMP5, -3;DDR2 PRKCB, -3;F11R POU6F1, -3;HMGA1 NGF VEGFC, -3;ITGB7 POU6F1 VEGFC, -9;POU6F1, -3;POU6F1 PPA2 RHOH, -2;POU6F1 RBMS2 TAS2R8, -2;POU6F1 SLC1A5 TGFBR3, -2;PRMT1 VEGFC, -3;TPK1 VEGFC, -3;VEGFC ZFP36L2, -2	-9	ITGB7 POU6F1 VEGFC
DDR2 PRKCA TAC1	577	38	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ARHGEF1 ITIH4 MRTO4 PRKCA, -1;ATM ELN NGF PRKCA, -1;ATP5B DLG2 PRKCA RCVRN, -2;ATP5B ERCC2 ITIH4 PRKCA, -1;ATP5B PRKCA, -3;BAK1 DDR2, -2;BIRC3 BSCL2 PRKCA, -2;BMP2K DCHS2 PRKCA ZIC4, -2;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -2;CEACAM1 DDR2 ELN, -2;CEACAM8 DDR2 LHX2, -2;COL16A1 GNAI1 PRKCA, -2;DAB2 DDR2 LHX2 SLC1A5, -2;DDR2, -3;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 MME POU6F1, -3;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -3;DDR2 PRKCA VAMP5, -9;DDR2 PRKCB, -3;DLG2 GNAI1 PADI3 PRKCA, -1;ELK3 PRKCA TNC, -3;GNAI1 PRKCA, -3;GNRH2 HTR2A PRKCA, -2;ITGB7 PRKCA, -3;ITGBL1 PRKCA, -3;KIF14 MVK PRKCA, -2;MT1H PRKCA, -3;NGF PRKCA SH3TC1 TGFBI, -2;PRKCA, -3;PRKCA TGFBI, -3;PRKCA TLE1, -3;TAC1, -3;TAC1 TCF4, -2	-9	DDR2 PRKCA VAMP5
DDR2 PRKCA VAMP5	575	40	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ALX1 SGCA VAMP5, -3;ARHGEF1 ITIH4 MRTO4 PRKCA, -1;ATM ELN NGF PRKCA, -1;ATP5B DLG2 PRKCA RCVRN, -2;ATP5B ERCC2 ITIH4 PRKCA, -1;ATP5B PRKCA, -3;BAK1 DDR2, -2;BIRC3 BSCL2 PRKCA, -2;BMP2K DCHS2 PRKCA ZIC4, -2;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -2;CEACAM1 DDR2 ELN, -2;CEACAM8 DDR2 LHX2, -2;COL16A1 GNAI1 PRKCA, -2;DAB2 DDR2 LHX2 SLC1A5, -2;DDR2, -3;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 MME POU6F1, -3;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -3;DDR2 PRKCA TAC1, -9;DDR2 PRKCB, -3;DLG2 GNAI1 PADI3 PRKCA, -1;ELK3 PRKCA TNC, -3;GNAI1 PRKCA, -3;GNRH2 HTR2A PRKCA, -2;GRIK3 LMO3 QPCTL VAMP5, -2;HR ITGBL1 SYNPO VAMP5 XBP1, -1;ITGB7 PRKCA, -3;ITGBL1 PRKCA, -3;KIF14 MVK PRKCA, -2;MT1H PRKCA, -3;NGF PRKCA SH3TC1 TGFBI, -2;PRKCA, -3;PRKCA TGFBI, -3;PRKCA TLE1, -3;VAMP5, -3	-9	DDR2 PRKCA TAC1
DDR2 PRKCB	596	19	ATM GNAI1 PRKCB, -3;BAK1 DDR2, -3;BAK1 ELN PRKCB, -3;BDNF PRKCB TGFB2, -3;CEACAM1 DDR2 ELN, -3;CEACAM8 DDR2 LHX2, -3;DAB2 DDR2 LHX2 SLC1A5, -2;DDR2, -4;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;DDR2 MME POU6F1, -3;DDR2 POU6F1 PRLR SYNPO, -2;DDR2 POU6F1 VEGFC, -3;DDR2 PRKCA TAC1, -3;DDR2 PRKCA VAMP5, -3;FXYD1 PRKCB, -4;GNAI1 PRKCB QPCTL, -3;ITIH4 PRKCB REEP1 RPL10A XBP1, -1	-4	DDR2
DHRS7 ELK3 FBN1 SLC7A2	581	34	AGER FBN1, -2;ATP5B FBN1 HNF4A, -2;BAK1 FBN1 GADD45G TLE1, -1;BMP2K FBN1 MRPS12, -2;C4BPA ELK3 OSBPL9, -2;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;CEACAM7 FBN1 HMGA1 TPM2, -1;CLDN3 FBN1, -2;CTGF ELK3 FBN1 GRTP1 PALM, -7;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -1;DHRS7 GAA GNAI1, -2;ELK3, -2;ELK3 FAM134B, -2;ELK3 FAM134B FBN1, -7;ELK3 FAM134B NOX3, -2;ELK3 FAM134B TLE1, -2;ELK3 FOXC2, -2;ELK3 LAMB3, -2;ELK3 MRPS12 PDIA3 QKI, -1;ELK3 PRKCA TNC, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, -4;FBN1 GNAI1 RPL10A, -1;FBN1 ITGBL1, -2;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 2;FBN1 MRPS12 NOX3 TBXA2R, 0;FBN1 MT1H, -2;FBN1 MT1H VENTX, -1;FXYD1 PKNOX1 SLC7A2, -2;GADD45G NMT2 SLC7A2, -2;HOXB8 SLC7A2 WIPF1, -1;ITGB7 KIF13B SLC7A2, -2;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, -1;SLC7A2, -2	-7	CTGF ELK3 FBN1 GRTP1 PALM
DHRS7 GAA GNAI1	596	19	ATM GNAI1 PRKCB, -2;ATP5B GNAI1 TCF4 ZFP36L2, -1;BAK1 BDNF GNAI1, -3;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -1;CEACAM8 GNAI1 LAMB3 SOX2, -1;COL16A1 GNAI1 PRKCA, -2;CPB2 ERCC2 GAA KCNK12 MT1H, -1;DHRS7 ELK3 FBN1 SLC7A2, -2;DLG2 GNAI1 PADI3 PRKCA, -1;FBN1 GNAI1 RPL10A, -2;GAA, -3;GAA GPR35 MSC SCN5A, -1;GAA GPR35 MSC SCN5A UGT1A1, 0;GAA GRIK3 KCNK12 MT1H, -1;GNAI1, -3;GNAI1 GPR137B IL12A RCAN2, 0;GNAI1 PRKCA, -2;GNAI1 PRKCB QPCTL, -1	-3	BAK1 BDNF GNAI1
